Title,Abstract,PDF Link
ASH: Animatable Gaussian Splats for Efficient and Photoreal Human Rendering,"Haokai Pang,



Heming Zhu,



Adam Kortylewski,



Christian Theobalt,



Marc Habermann",/content/CVPR2024/html/Pang_ASH_Animatable_Gaussian_Splats_for_Efficient_and_Photoreal_Human_Rendering_CVPR_2024_paper.html
Focus on Hiders: Exploring Hidden Threats for Enhancing Adversarial Training,"Qian Li,



Yuxiao Hu,



Yinpeng Dong,



Dongxiao Zhang,



Yuntian Chen",/content/CVPR2024/html/Li_Focus_on_Hiders_Exploring_Hidden_Threats_for_Enhancing_Adversarial_Training_CVPR_2024_paper.html
ArtAdapter: Text-to-Image Style Transfer using Multi-Level Style Encoder and Explicit Adaptation,"Dar-Yen Chen,



Hamish Tennent,



Ching-Wen Hsu",/content/CVPR2024/html/Chen_ArtAdapter_Text-to-Image_Style_Transfer_using_Multi-Level_Style_Encoder_and_Explicit_CVPR_2024_paper.html
GoodSAM: Bridging Domain and Capacity Gaps via Segment Anything Model for Distortion-aware Panoramic Semantic Segmentation,"Weiming Zhang,



Yexin Liu,



Xu Zheng,



Lin Wang",/content/CVPR2024/html/Zhang_GoodSAM_Bridging_Domain_and_Capacity_Gaps_via_Segment_Anything_Model_CVPR_2024_paper.html
DYSON: Dynamic Feature Space Self-Organization for Online Task-Free Class Incremental Learning,"Yuhang He,



Yingjie Chen,



Yuhan Jin,



Songlin Dong,



Xing Wei,



Yihong Gong",/content/CVPR2024/html/He_DYSON_Dynamic_Feature_Space_Self-Organization_for_Online_Task-Free_Class_Incremental_CVPR_2024_paper.html
Streaming Dense Video Captioning,"Xingyi Zhou,



Anurag Arnab,



Shyamal Buch,



Shen Yan,



Austin Myers,



Xuehan Xiong,



Arsha Nagrani,



Cordelia Schmid",/content/CVPR2024/html/Zhou_Streaming_Dense_Video_Captioning_CVPR_2024_paper.html
Rethinking Inductive Biases for Surface Normal Estimation,"Gwangbin Bae,



Andrew J. Davison",/content/CVPR2024/html/Bae_Rethinking_Inductive_Biases_for_Surface_Normal_Estimation_CVPR_2024_paper.html
Event-based Structure-from-Orbit,"Ethan Elms,



Yasir Latif,



Tae Ha Park,



Tat-Jun Chin",/content/CVPR2024/html/Elms_Event-based_Structure-from-Orbit_CVPR_2024_paper.html
LED: A Large-scale Real-world Paired Dataset for Event Camera Denoising,Yuxing Duan,/content/CVPR2024/html/Duan_LED_A_Large-scale_Real-world_Paired_Dataset_for_Event_Camera_Denoising_CVPR_2024_paper.html
Fair Federated Learning under Domain Skew with Local Consistency and Domain Diversity,"Yuhang Chen,



Wenke Huang,



Mang Ye",/content/CVPR2024/html/Chen_Fair_Federated_Learning_under_Domain_Skew_with_Local_Consistency_and_CVPR_2024_paper.html
Activity-Biometrics: Person Identification from Daily Activities,"Shehreen Azad,



Yogesh Singh Rawat",/content/CVPR2024/html/Azad_Activity-Biometrics_Person_Identification_from_Daily_Activities_CVPR_2024_paper.html
Z*: Zero-shot Style Transfer via Attention Reweighting,"Yingying Deng,



Xiangyu He,



Fan Tang,



Weiming Dong",/content/CVPR2024/html/Deng_Z_Zero-shot_Style_Transfer_via_Attention_Reweighting_CVPR_2024_paper.html
HIG: Hierarchical Interlacement Graph Approach to Scene Graph Generation in Video Understanding,"Trong-Thuan Nguyen,



Pha Nguyen,



Khoa Luu",/content/CVPR2024/html/Nguyen_HIG_Hierarchical_Interlacement_Graph_Approach_to_Scene_Graph_Generation_in_CVPR_2024_paper.html
OOSTraj: Out-of-Sight Trajectory Prediction With Vision-Positioning Denoising,"Haichao Zhang,



Yi Xu,



Hongsheng Lu,



Takayuki Shimizu,



Yun Fu",/content/CVPR2024/html/Zhang_OOSTraj_Out-of-Sight_Trajectory_Prediction_With_Vision-Positioning_Denoising_CVPR_2024_paper.html
FADES: Fair Disentanglement with Sensitive Relevance,"Taeuk Jang,



Xiaoqian Wang",/content/CVPR2024/html/Jang_FADES_Fair_Disentanglement_with_Sensitive_Relevance_CVPR_2024_paper.html
Learning Continuous 3D Words for Text-to-Image Generation,"Ta-Ying Cheng,



Matheus Gadelha,



Thibault Groueix,



Matthew Fisher,



Radomir Mech,



Andrew Markham,



Niki Trigoni",/content/CVPR2024/html/Cheng_Learning_Continuous_3D_Words_for_Text-to-Image_Generation_CVPR_2024_paper.html
MarkovGen: Structured Prediction for Efficient Text-to-Image Generation,"Sadeep Jayasumana,



Daniel Glasner,



Srikumar Ramalingam,



Andreas Veit,



Ayan Chakrabarti,



Sanjiv Kumar",/content/CVPR2024/html/Jayasumana_MarkovGen_Structured_Prediction_for_Efficient_Text-to-Image_Generation_CVPR_2024_paper.html
Self-Supervised Class-Agnostic Motion Prediction with Spatial and Temporal Consistency Regularizations,"Kewei Wang,



Yizheng Wu,



Jun Cen,



Zhiyu Pan,



Xingyi Li,



Zhe Wang,



Zhiguo Cao,



Guosheng Lin",/content/CVPR2024/html/Wang_Self-Supervised_Class-Agnostic_Motion_Prediction_with_Spatial_and_Temporal_Consistency_Regularizations_CVPR_2024_paper.html
HashPoint: Accelerated Point Searching and Sampling for Neural Rendering,"Jiahao Ma,



Miaomiao Liu,



David Ahmedt-Aristizabal,



Chuong Nguyen",/content/CVPR2024/html/Ma_HashPoint_Accelerated_Point_Searching_and_Sampling_for_Neural_Rendering_CVPR_2024_paper.html
MFP: Making Full Use of Probability Maps for Interactive Image Segmentation,"Chaewon Lee,



Seon-Ho Lee,



Chang-Su Kim",/content/CVPR2024/html/Lee_MFP_Making_Full_Use_of_Probability_Maps_for_Interactive_Image_CVPR_2024_paper.html
CAT: Exploiting Inter-Class Dynamics for Domain Adaptive Object Detection,"Mikhail Kennerley,



Jian-Gang Wang,



Bharadwaj Veeravalli,



Robby T. Tan",/content/CVPR2024/html/Kennerley_CAT_Exploiting_Inter-Class_Dynamics_for_Domain_Adaptive_Object_Detection_CVPR_2024_paper.html
StyLitGAN: Image-Based Relighting via Latent Control,"Anand Bhattad,



James Soole,



D.A. Forsyth",/content/CVPR2024/html/Bhattad_StyLitGAN_Image-Based_Relighting_via_Latent_Control_CVPR_2024_paper.html
An Empirical Study of Scaling Law for Scene Text Recognition,"Miao Rang,



Zhenni Bi,



Chuanjian Liu,



Yunhe Wang,



Kai Han",/content/CVPR2024/html/Rang_An_Empirical_Study_of_Scaling_Law_for_Scene_Text_Recognition_CVPR_2024_paper.html
Text2Loc: 3D Point Cloud Localization from Natural Language,"Yan Xia,



Letian Shi,



Zifeng Ding,



Joao F. Henriques,



Daniel Cremers",/content/CVPR2024/html/Xia_Text2Loc_3D_Point_Cloud_Localization_from_Natural_Language_CVPR_2024_paper.html
SVDinsTN: A Tensor Network Paradigm for Efficient Structure Search from Regularized Modeling Perspective,"Yu-Bang Zheng,



Xi-Le Zhao,



Junhua Zeng,



Chao Li,



Qibin Zhao,



Heng-Chao Li,



Ting-Zhu Huang",/content/CVPR2024/html/Zheng_SVDinsTN_A_Tensor_Network_Paradigm_for_Efficient_Structure_Search_from_CVPR_2024_paper.html
Decomposing Disease Descriptions for Enhanced Pathology Detection: A Multi-Aspect Vision-Language Pre-training Framework,"Vu Minh Hieu Phan,



Yutong Xie,



Yuankai Qi,



Lingqiao Liu,



Liyang Liu,



Bowen Zhang,



Zhibin Liao,



Qi Wu,



Minh-Son To,



Johan W. Verjans",/content/CVPR2024/html/Phan_Decomposing_Disease_Descriptions_for_Enhanced_Pathology_Detection_A_Multi-Aspect_Vision-Language_CVPR_2024_paper.html
MoMask: Generative Masked Modeling of 3D Human Motions,"Chuan Guo,



Yuxuan Mu,



Muhammad Gohar Javed,



Sen Wang,



Li Cheng",/content/CVPR2024/html/Guo_MoMask_Generative_Masked_Modeling_of_3D_Human_Motions_CVPR_2024_paper.html
Inverse Rendering of Glossy Objects via the Neural Plenoptic Function and Radiance Fields,"Haoyuan Wang,



Wenbo Hu,



Lei Zhu,



Rynson W.H. Lau",/content/CVPR2024/html/Wang_Inverse_Rendering_of_Glossy_Objects_via_the_Neural_Plenoptic_Function_CVPR_2024_paper.html
Split to Merge: Unifying Separated Modalities for Unsupervised Domain Adaptation,"Xinyao Li,



Yuke Li,



Zhekai Du,



Fengling Li,



Ke Lu,



Jingjing Li",/content/CVPR2024/html/Li_Split_to_Merge_Unifying_Separated_Modalities_for_Unsupervised_Domain_Adaptation_CVPR_2024_paper.html
Fitting Flats to Flats,"Gabriel Dogadov,



Ugo Finnendahl,



Marc Alexa",/content/CVPR2024/html/Dogadov_Fitting_Flats_to_Flats_CVPR_2024_paper.html
Fusing Personal and Environmental Cues for Identification and Segmentation of First-Person Camera Wearers in Third-Person Views,"Ziwei Zhao,



Yuchen Wang,



Chuhua Wang",/content/CVPR2024/html/Zhao_Fusing_Personal_and_Environmental_Cues_for_Identification_and_Segmentation_of_CVPR_2024_paper.html
Coupled Laplacian Eigenmaps for Locally-Aware 3D Rigid Point Cloud Matching,"Matteo Bastico,



Etienne Decencière,



Laurent Corté,



Yannick Tillier,



David Ryckelynck",/content/CVPR2024/html/Bastico_Coupled_Laplacian_Eigenmaps_for_Locally-Aware_3D_Rigid_Point_Cloud_Matching_CVPR_2024_paper.html
Overcoming Generic Knowledge Loss with Selective Parameter Update,"Wenxuan Zhang,



Paul Janson,



Rahaf Aljundi,



Mohamed Elhoseiny",/content/CVPR2024/html/Zhang_Overcoming_Generic_Knowledge_Loss_with_Selective_Parameter_Update_CVPR_2024_paper.html
Desigen: A Pipeline for Controllable Design Template Generation,"Haohan Weng,



Danqing Huang,



Yu Qiao,



Zheng Hu,



Chin-Yew Lin,



Tong Zhang,



C. L. Philip Chen",/content/CVPR2024/html/Weng_Desigen_A_Pipeline_for_Controllable_Design_Template_Generation_CVPR_2024_paper.html
Diff-BGM: A Diffusion Model for Video Background Music Generation,"Sizhe Li,



Yiming Qin,



Minghang Zheng,



Xin Jin,



Yang Liu",/content/CVPR2024/html/Li_Diff-BGM_A_Diffusion_Model_for_Video_Background_Music_Generation_CVPR_2024_paper.html
Looking Similar Sounding Different: Leveraging Counterfactual Cross-Modal Pairs for Audiovisual Representation Learning,"Nikhil Singh,



Chih-Wei Wu,



Iroro Orife,



Mahdi Kalayeh",/content/CVPR2024/html/Singh_Looking_Similar_Sounding_Different_Leveraging_Counterfactual_Cross-Modal_Pairs_for_Audiovisual_CVPR_2024_paper.html
Multi-criteria Token Fusion with One-step-ahead Attention for Efficient Vision Transformers,"Sanghyeok Lee,



Joonmyung Choi,



Hyunwoo J. Kim",/content/CVPR2024/html/Lee_Multi-criteria_Token_Fusion_with_One-step-ahead_Attention_for_Efficient_Vision_Transformers_CVPR_2024_paper.html
Towards HDR and HFR Video from Rolling-Mixed-Bit Spikings,"Yakun Chang,



Yeliduosi Xiaokaiti,



Yujia Liu,



Bin Fan,



Zhaojun Huang,



Tiejun Huang,



Boxin Shi",/content/CVPR2024/html/Chang_Towards_HDR_and_HFR_Video_from_Rolling-Mixed-Bit_Spikings_CVPR_2024_paper.html
Scaling Up Video Summarization Pretraining with Large Language Models,"Dawit Mureja Argaw,



Seunghyun Yoon,



Fabian Caba Heilbron,



Hanieh Deilamsalehy,



Trung Bui,



Zhaowen Wang,



Franck Dernoncourt,



Joon Son Chung",/content/CVPR2024/html/Argaw_Scaling_Up_Video_Summarization_Pretraining_with_Large_Language_Models_CVPR_2024_paper.html
Continuous Optical Zooming: A Benchmark for Arbitrary-Scale Image Super-Resolution in Real World,"Huiyuan Fu,



Fei Peng,



Xianwei Li,



Yejun Li,



Xin Wang,



Huadong Ma",/content/CVPR2024/html/Fu_Continuous_Optical_Zooming_A_Benchmark_for_Arbitrary-Scale_Image_Super-Resolution_in_CVPR_2024_paper.html
Sharingan: A Transformer Architecture for Multi-Person Gaze Following,"Samy Tafasca,



Anshul Gupta,



Jean-Marc Odobez",/content/CVPR2024/html/Tafasca_Sharingan_A_Transformer_Architecture_for_Multi-Person_Gaze_Following_CVPR_2024_paper.html
ViewFusion: Towards Multi-View Consistency via Interpolated Denoising,"Xianghui Yang,



Yan Zuo,



Sameera Ramasinghe,



Loris Bazzani,



Gil Avraham,



Anton van den Hengel",/content/CVPR2024/html/Yang_ViewFusion_Towards_Multi-View_Consistency_via_Interpolated_Denoising_CVPR_2024_paper.html
SketchINR: A First Look into Sketches as Implicit Neural Representations,"Hmrishav Bandyopadhyay,



Ayan Kumar Bhunia,



Pinaki Nath Chowdhury,



Aneeshan Sain,



Tao Xiang,



Timothy Hospedales,



Yi-Zhe Song",/content/CVPR2024/html/Bandyopadhyay_SketchINR_A_First_Look_into_Sketches_as_Implicit_Neural_Representations_CVPR_2024_paper.html
Open-Vocabulary Segmentation with Semantic-Assisted Calibration,"Yong Liu,



Sule Bai,



Guanbin Li,



Yitong Wang,



Yansong Tang",/content/CVPR2024/html/Liu_Open-Vocabulary_Segmentation_with_Semantic-Assisted_Calibration_CVPR_2024_paper.html
MatchU: Matching Unseen Objects for 6D Pose Estimation from RGB-D Images,"Junwen Huang,



Hao Yu,



Kuan-Ting Yu,



Nassir Navab,



Slobodan Ilic,



Benjamin Busam",/content/CVPR2024/html/Huang_MatchU_Matching_Unseen_Objects_for_6D_Pose_Estimation_from_RGB-D_CVPR_2024_paper.html
Towards a Perceptual Evaluation Framework for Lighting Estimation,"Justine Giroux,



Mohammad Reza Karimi Dastjerdi,



Yannick Hold-Geoffroy,



Javier Vazquez-Corral,



Jean-François Lalonde",/content/CVPR2024/html/Giroux_Towards_a_Perceptual_Evaluation_Framework_for_Lighting_Estimation_CVPR_2024_paper.html
Bridging the Synthetic-to-Authentic Gap: Distortion-Guided Unsupervised Domain Adaptation for Blind Image Quality Assessment,"Aobo Li,



Jinjian Wu,



Yongxu Liu,



Leida Li",/content/CVPR2024/html/Li_Bridging_the_Synthetic-to-Authentic_Gap_Distortion-Guided_Unsupervised_Domain_Adaptation_for_Blind_CVPR_2024_paper.html
Coherent Temporal Synthesis for Incremental Action Segmentation,"Guodong Ding,



Hans Golong,



Angela Yao",/content/CVPR2024/html/Ding_Coherent_Temporal_Synthesis_for_Incremental_Action_Segmentation_CVPR_2024_paper.html
HiFi4G: High-Fidelity Human Performance Rendering via Compact Gaussian Splatting,"Yuheng Jiang,



Zhehao Shen,



Penghao Wang,



Zhuo Su,



Yu Hong,



Yingliang Zhang,



Jingyi Yu,



Lan Xu",/content/CVPR2024/html/Jiang_HiFi4G_High-Fidelity_Human_Performance_Rendering_via_Compact_Gaussian_Splatting_CVPR_2024_paper.html
G-FARS: Gradient-Field-based Auto-Regressive Sampling for 3D Part Grouping,"Junfeng Cheng,



Tania Stathaki",/content/CVPR2024/html/Cheng_G-FARS_Gradient-Field-based_Auto-Regressive_Sampling_for_3D_Part_Grouping_CVPR_2024_paper.html
Towards High-fidelity Artistic Image Vectorization via Texture-Encapsulated Shape Parameterization,"Ye Chen,



Bingbing Ni,



Jinfan Liu,



Xiaoyang Huang,



Xuanhong Chen",/content/CVPR2024/html/Chen_Towards_High-fidelity_Artistic_Image_Vectorization_via_Texture-Encapsulated_Shape_Parameterization_CVPR_2024_paper.html
On Exact Inversion of DPM-Solvers,"Seongmin Hong,



Kyeonghyun Lee,



Suh Yoon Jeon,



Hyewon Bae,



Se Young Chun",/content/CVPR2024/html/Hong_On_Exact_Inversion_of_DPM-Solvers_CVPR_2024_paper.html
EfficientSAM: Leveraged Masked Image Pretraining for Efficient Segment Anything,"Yunyang Xiong,



Bala Varadarajan,



Lemeng Wu,



Xiaoyu Xiang,



Fanyi Xiao,



Chenchen Zhu,



Xiaoliang Dai,



Dilin Wang,



Fei Sun,



Forrest Iandola,



Raghuraman Krishnamoorthi,



Vikas Chandra",/content/CVPR2024/html/Xiong_EfficientSAM_Leveraged_Masked_Image_Pretraining_for_Efficient_Segment_Anything_CVPR_2024_paper.html
ChatScene: Knowledge-Enabled Safety-Critical Scenario Generation for Autonomous Vehicles,"Jiawei Zhang,



Chejian Xu,



Bo Li",/content/CVPR2024/html/Zhang_ChatScene_Knowledge-Enabled_Safety-Critical_Scenario_Generation_for_Autonomous_Vehicles_CVPR_2024_paper.html
CAMEL: CAusal Motion Enhancement Tailored for Lifting Text-driven Video Editing,"Guiwei Zhang,



Tianyu Zhang,



Guanglin Niu,



Zichang Tan,



Yalong Bai,



Qing Yang",/content/CVPR2024/html/Zhang_CAMEL_CAusal_Motion_Enhancement_Tailored_for_Lifting_Text-driven_Video_Editing_CVPR_2024_paper.html
Teeth-SEG: An Efficient Instance Segmentation Framework for Orthodontic Treatment based on Multi-Scale Aggregation and Anthropic Prior Knowledge,"Bo Zou,



Shaofeng Wang,



Hao Liu,



Gaoyue Sun,



Yajie Wang,



FeiFei Zuo,



Chengbin Quan,



Youjian Zhao",/content/CVPR2024/html/Zou_Teeth-SEG_An_Efficient_Instance_Segmentation_Framework_for_Orthodontic_Treatment_based_CVPR_2024_paper.html
FocSAM: Delving Deeply into Focused Objects in Segmenting Anything,"You Huang,



Zongyu Lan,



Liujuan Cao,



Xianming Lin,



Shengchuan Zhang,



Guannan Jiang,



Rongrong Ji",/content/CVPR2024/html/Huang_FocSAM_Delving_Deeply_into_Focused_Objects_in_Segmenting_Anything_CVPR_2024_paper.html
DMR: Decomposed Multi-Modality Representations for Frames and Events Fusion in Visual Reinforcement Learning,"Haoran Xu,



Peixi Peng,



Guang Tan,



Yuan Li,



Xinhai Xu,



Yonghong Tian",/content/CVPR2024/html/Xu_DMR_Decomposed_Multi-Modality_Representations_for_Frames_and_Events_Fusion_in_CVPR_2024_paper.html
DiffuseMix: Label-Preserving Data Augmentation with Diffusion Models,"Khawar Islam,



Muhammad Zaigham Zaheer,



Arif Mahmood,



Karthik Nandakumar",/content/CVPR2024/html/Islam_DiffuseMix_Label-Preserving_Data_Augmentation_with_Diffusion_Models_CVPR_2024_paper.html
PRDP: Proximal Reward Difference Prediction for Large-Scale Reward Finetuning of Diffusion Models,"Fei Deng,



Qifei Wang,



Wei Wei,



Tingbo Hou,



Matthias Grundmann",/content/CVPR2024/html/Deng_PRDP_Proximal_Reward_Difference_Prediction_for_Large-Scale_Reward_Finetuning_of_CVPR_2024_paper.html
FREE: Faster and Better Data-Free Meta-Learning,"Yongxian Wei,



Zixuan Hu,



Zhenyi Wang,



Li Shen,



Chun Yuan,



Dacheng Tao",/content/CVPR2024/html/Wei_FREE_Faster_and_Better_Data-Free_Meta-Learning_CVPR_2024_paper.html
Bayesian Diffusion Models for 3D Shape Reconstruction,"Haiyang Xu,



Yu Lei,



Zeyuan Chen,



Xiang Zhang,



Yue Zhao,



Yilin Wang,



Zhuowen Tu",/content/CVPR2024/html/Xu_Bayesian_Diffusion_Models_for_3D_Shape_Reconstruction_CVPR_2024_paper.html
Task-Customized Mixture of Adapters for General Image Fusion,"Pengfei Zhu,



Yang Sun,



Bing Cao,



Qinghua Hu",/content/CVPR2024/html/Zhu_Task-Customized_Mixture_of_Adapters_for_General_Image_Fusion_CVPR_2024_paper.html
Bi-SSC: Geometric-Semantic Bidirectional Fusion for Camera-based 3D Semantic Scene Completion,"Yujie Xue,



Ruihui Li,



Fan Wu,



Zhuo Tang,



Kenli Li,



Mingxing Duan",/content/CVPR2024/html/Xue_Bi-SSC_Geometric-Semantic_Bidirectional_Fusion_for_Camera-based_3D_Semantic_Scene_Completion_CVPR_2024_paper.html
CrossKD: Cross-Head Knowledge Distillation for Object Detection,"Jiabao Wang,



Yuming Chen,



Zhaohui Zheng,



Xiang Li,



Ming-Ming Cheng,



Qibin Hou",/content/CVPR2024/html/Wang_CrossKD_Cross-Head_Knowledge_Distillation_for_Object_Detection_CVPR_2024_paper.html
Bi-level Learning of Task-Specific Decoders for Joint Registration and One-Shot Medical Image Segmentation,"Xin Fan,



Xiaolin Wang,



Jiaxin Gao,



Jia Wang,



Zhongxuan Luo,



Risheng Liu",/content/CVPR2024/html/Fan_Bi-level_Learning_of_Task-Specific_Decoders_for_Joint_Registration_and_One-Shot_CVPR_2024_paper.html
Parameter Efficient Self-Supervised Geospatial Domain Adaptation,"Linus Scheibenreif,



Michael Mommert,



Damian Borth",/content/CVPR2024/html/Scheibenreif_Parameter_Efficient_Self-Supervised_Geospatial_Domain_Adaptation_CVPR_2024_paper.html
Defense without Forgetting: Continual Adversarial Defense with Anisotropic & Isotropic Pseudo Replay,"Yuhang Zhou,



Zhongyun Hua",/content/CVPR2024/html/Zhou_Defense_without_Forgetting_Continual_Adversarial_Defense_with_Anisotropic__Isotropic_CVPR_2024_paper.html
EscherNet: A Generative Model for Scalable View Synthesis,"Xin Kong,



Shikun Liu,



Xiaoyang Lyu,



Marwan Taher,



Xiaojuan Qi,



Andrew J. Davison",/content/CVPR2024/html/Kong_EscherNet_A_Generative_Model_for_Scalable_View_Synthesis_CVPR_2024_paper.html
MeaCap: Memory-Augmented Zero-shot Image Captioning,"Zequn Zeng,



Yan Xie,



Hao Zhang,



Chiyu Chen,



Bo Chen,



Zhengjue Wang",/content/CVPR2024/html/Zeng_MeaCap_Memory-Augmented_Zero-shot_Image_Captioning_CVPR_2024_paper.html
Artist-Friendly Relightable and Animatable Neural Heads,"Yingyan Xu,



Prashanth Chandran,



Sebastian Weiss,



Markus Gross,



Gaspard Zoss,



Derek Bradley",/content/CVPR2024/html/Xu_Artist-Friendly_Relightable_and_Animatable_Neural_Heads_CVPR_2024_paper.html
Elite360D: Towards Efficient 360 Depth Estimation via Semantic- and Distance-Aware Bi-Projection Fusion,"Hao Ai,



Lin Wang",/content/CVPR2024/html/Ai_Elite360D_Towards_Efficient_360_Depth_Estimation_via_Semantic-_and_Distance-Aware_CVPR_2024_paper.html
From Feature to Gaze: A Generalizable Replacement of Linear Layer for Gaze Estimation,"Yiwei Bao,



Feng Lu",/content/CVPR2024/html/Bao_From_Feature_to_Gaze_A_Generalizable_Replacement_of_Linear_Layer_CVPR_2024_paper.html
Curriculum Point Prompting for Weakly-Supervised Referring Image Segmentation,"Qiyuan Dai,



Sibei Yang",/content/CVPR2024/html/Dai_Curriculum_Point_Prompting_for_Weakly-Supervised_Referring_Image_Segmentation_CVPR_2024_paper.html
